
Project Evaluation Performance Summary:
       96 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib036\ClassLib036.csproj   2 calls
       96 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib059\ClassLib059.csproj   2 calls
       96 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib071\ClassLib071.csproj   2 calls
       97 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib020\ClassLib020.csproj   2 calls
       98 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib003\ClassLib003.csproj   2 calls
       98 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib004\ClassLib004.csproj   2 calls
       99 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib014\ClassLib014.csproj   2 calls
       99 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib119\ClassLib119.csproj   2 calls
       99 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib088\ClassLib088.csproj   2 calls
      100 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib034\ClassLib034.csproj   2 calls
      102 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib078\ClassLib078.csproj   2 calls
      102 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib086\ClassLib086.csproj   2 calls
      104 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib012\ClassLib012.csproj   2 calls
      105 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib050\ClassLib050.csproj   2 calls
      105 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib098\ClassLib098.csproj   2 calls
      106 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib080\ClassLib080.csproj   2 calls
      106 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib032\ClassLib032.csproj   2 calls
      107 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib037\ClassLib037.csproj   2 calls
      107 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib023\ClassLib023.csproj   2 calls
      107 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib102\ClassLib102.csproj   2 calls
      107 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib097\ClassLib097.csproj   2 calls
      108 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib013\ClassLib013.csproj   2 calls
      109 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib052\ClassLib052.csproj   2 calls
      109 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib076\ClassLib076.csproj   2 calls
      109 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib099\ClassLib099.csproj   2 calls
      110 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib039\ClassLib039.csproj   2 calls
      112 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib096\ClassLib096.csproj   2 calls
      112 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib017\ClassLib017.csproj   2 calls
      112 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib094\ClassLib094.csproj   2 calls
      113 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib029\ClassLib029.csproj   2 calls
      116 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib018\ClassLib018.csproj   2 calls
      116 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib066\ClassLib066.csproj   2 calls
      117 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib010\ClassLib010.csproj   2 calls
      117 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib075\ClassLib075.csproj   2 calls
      118 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib065\ClassLib065.csproj   2 calls
      121 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib053\ClassLib053.csproj   2 calls
      121 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib084\ClassLib084.csproj   2 calls
      122 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib103\ClassLib103.csproj   2 calls
      123 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib021\ClassLib021.csproj   2 calls
